model,train_acc,test_acc,train_auc,test_auc
random forest,0.9998479087452472,0.6376899696048632,0.9999998727424512,0.5727895164567249
logistic regression,0.7515589353612168,0.6483282674772036,0.9552234133528803,0.5690532303941487
