disposition,n,p_first_party_wins,majority_within_group
reversed/remanded,1072,0.9878731343283582,0.9878731343283582
affirmed,1005,0.01791044776119403,0.982089552238806
reversed,585,0.9880341880341881,0.9880341880341881
vacated/remanded,428,0.927570093457944,0.927570093457944
reversed in-part/remanded,61,0.7049180327868853,0.7049180327868853
none,39,0.20512820512820512,0.7948717948717949
reversed in-part,21,0.6666666666666666,0.6666666666666666
vacated,7,0.8571428571428571,0.8571428571428571
vacated in-part/remanded,5,0.8,0.8
