model,accuracy,accuracy_sd,auc,auc_sd,f1_minority
majority-class baseline,0.6508515815085159,0.0,0.5,0.0,0.0
"random forest, full text",0.6376899696048632,0.007036982919629305,0.5727895164567249,0.015490095376301586,0.195343927806982
"random forest, outcome language removed",0.6337386018237082,0.010746303665449054,0.5706663957740755,0.019755516830556655,0.18830834388216278
"random forest, outcome + posture removed",0.6373860182370821,0.009348666564881291,0.5553484355952865,0.013895523397663312,0.24539997208099606
"logistic regression, full text",0.6483282674772036,0.005971696870634805,0.5690532303941487,0.0134538885134195,0.09523206273498411
"logistic regression, boilerplate removed",0.6483282674772036,0.005571520601770024,0.5595245835026412,0.01615009432007338,0.09778283640795998
