n_train,test_auc,test_auc_sd
526,0.5518955709061357,0.020556299939886006
1052,0.5529784640390085,0.025176474596722235
1578,0.5654469727752945,0.024941546743355532
2104,0.5734477854530677,0.013807711956868288
2630,0.5690532303941487,0.0134538885134195
